geo_value,time_value,full_time_work_prop
ak,2019-01-01,0.025281963283116
al,2019-01-01,0.018056758162924
ar,2019-01-01,0.021693874104743
as,2019-01-01,0.092714810074332
az,2019-01-01,0.017878771311471
ca,2019-01-01,0.020759903854508
co,2019-01-01,0.019696871408953
ct,2019-01-01,0.019195358989852
dc,2019-01-01,0.015191752525723
de,2019-01-01,0.018467448679769
fl,2019-01-01,0.014644080409916
ga,2019-01-01,0.014143177710893
gu,2019-01-01,0.080412178656253
hi,2019-01-01,0.017555337041656
ia,2019-01-01,0.026206440459332
id,2019-01-01,0.019986490959885
il,2019-01-01,0.022627962850542
in,2019-01-01,0.020498465667595
ks,2019-01-01,0.022883039182644
ky,2019-01-01,0.021455314376301
la,2019-01-01,0.026382656305251
ma,2019-01-01,0.028129124498914
md,2019-01-01,0.021151906412006
me,2019-01-01,0.029913791826497
mi,2019-01-01,0.023730937301509
mn,2019-01-01,0.029191006710373
mo,2019-01-01,0.02695857126968
mp,2019-01-01,0.084521713248779
ms,2019-01-01,0.027300208312599
mt,2019-01-01,0.031418280013516
nc,2019-01-01,0.018384450872004
nd,2019-01-01,0.026660212739127
ne,2019-01-01,0.026181639395859
nh,2019-01-01,0.025695230340763
nj,2019-01-01,0.021576646221832
nm,2019-01-01,0.025263850043256
nv,2019-01-01,0.020718080525121
ny,2019-01-01,0.024889442920885
oh,2019-01-01,0.022147412132027
ok,2019-01-01,0.022602719754291
or,2019-01-01,0.023747852455574
pa,2019-01-01,0.025022953732433
pr,2019-01-01,0.035775529221689
ri,2019-01-01,0.028541156424881
sc,2019-01-01,0.021402855775649
sd,2019-01-01,0.031459784737801
tn,2019-01-01,0.02313483751649
tx,2019-01-01,0.021951671831758
ut,2019-01-01,0.02316605111658
va,2019-01-01,0.023195209031971
vi,2019-01-01,0.036856314099721
vt,2019-01-01,0.034153999905924
wa,2019-01-01,0.024064108734255
wi,2019-01-01,0.025619443174046
wv,2019-01-01,0.028086011969692
wy,2019-01-01,0.023642081106048
ak,2019-01-02,0.043653838138213
al,2019-01-02,0.045533980592171
ar,2019-01-02,0.052496473420046
as,2019-01-02,0.089335480922079
az,2019-01-02,0.043389661965579
ca,2019-01-02,0.050455372091469
co,2019-01-02,0.05747087849315
ct,2019-01-02,0.09317269897228
dc,2019-01-02,0.064828660923325
de,2019-01-02,0.072358688981209
fl,2019-01-02,0.047867093451858
ga,2019-01-02,0.044723884110808
gu,2019-01-02,0.079465158770011
hi,2019-01-02,0.026295366022435
ia,2019-01-02,0.070752727775981
id,2019-01-02,0.047757030625251
il,2019-01-02,0.058978291023515
in,2019-01-02,0.052258204737651
ks,2019-01-02,0.060823667462591
ky,2019-01-02,0.058480316002046
la,2019-01-02,0.05402531807469
ma,2019-01-02,0.076714936716044
md,2019-01-02,0.073450849897395
me,2019-01-02,0.070335434140178
mi,2019-01-02,0.046072975084045
mn,2019-01-02,0.078764498190595
mo,2019-01-02,0.055494943950419
mp,2019-01-02,0.082311429476087
ms,2019-01-02,0.046435583719392
mt,2019-01-02,0.052194312735634
nc,2019-01-02,0.052291042087693
nd,2019-01-02,0.067663645967899
ne,2019-01-02,0.05354954094249
nh,2019-01-02,0.079248678933967
nj,2019-01-02,0.084206735854279
nm,2019-01-02,0.029810421291617
nv,2019-01-02,0.031082857971711
ny,2019-01-02,0.068928042573573
oh,2019-01-02,0.051606426959753
ok,2019-01-02,0.051414059571551
or,2019-01-02,0.04564954739638
pa,2019-01-02,0.071273299360757
pr,2019-01-02,0.042253267515578
ri,2019-01-02,0.072551471377629
sc,2019-01-02,0.046612686031081
sd,2019-01-02,0.061879240791326
tn,2019-01-02,0.051612796580552
tx,2019-01-02,0.048858600788316
ut,2019-01-02,0.061714037369559
va,2019-01-02,0.056871706285393
vi,2019-01-02,0.041835598301027
vt,2019-01-02,0.069103010223041
wa,2019-01-02,0.044858396630696
wi,2019-01-02,0.080633998936662
wv,2019-01-02,0.053415871441875
wy,2019-01-02,0.050320088107054
ak,2019-01-03,0.047653750963659
al,2019-01-03,0.072015973917746
ar,2019-01-03,0.057627036409639
as,2019-01-03,0.090324138668028
az,2019-01-03,0.048100927044861
ca,2019-01-03,0.045803760301775
co,2019-01-03,0.053799750730967
ct,2019-01-03,0.088863858236763
dc,2019-01-03,0.065404871475487
de,2019-01-03,0.077099234450645
