geo_value,time_value,percent_covid_visits
dc,2020-02-05,0.006396
de,2020-02-05,0.005006
fl,2020-02-05,0.001228
ga,2020-02-05,0.001479
hi,2020-02-05,0.00691
ia,2020-02-05,0.00223
id,2020-02-05,0.010749
il,2020-02-05,0.002165
in,2020-02-05,0.002278
ks,2020-02-05,0.006026
ky,2020-02-05,0.002662
la,2020-02-05,0.003601
ma,2020-02-05,0.001411
md,2020-02-05,0.001327
me,2020-02-05,0.002721
mi,2020-02-05,0.000725
mn,2020-02-05,0.001883
mo,2020-02-05,0.001788
ms,2020-02-05,0.003016
mt,2020-02-05,0.012926
nc,2020-02-05,0.001455
nd,2020-02-05,0.01273
ne,2020-02-05,0.006975
nh,2020-02-05,0.006397
nj,2020-02-05,0.001271
nm,2020-02-05,0.008244
nv,2020-02-05,0.002488
ny,2020-02-05,0.004225
oh,2020-02-05,0.000908
ok,2020-02-05,0.001867
or,2020-02-05,0.002093
pa,2020-02-05,0.000744
pr,2020-02-05,0.006624
ri,2020-02-05,0.005789
sc,2020-02-05,0.001812
sd,2020-02-05,0.00759
tn,2020-02-05,0.001965
tx,2020-02-05,0.00119
ut,2020-02-05,0.006893
va,2020-02-05,0.000964
vt,2020-02-05,0.012031
wa,2020-02-05,0.001706
wi,2020-02-05,0.00136
wv,2020-02-05,0.00729
wy,2020-02-05,0.023506
ak,2020-02-06,0.02124
al,2020-02-06,0.001837
ar,2020-02-06,0.00362
az,2020-02-06,0.001012
ca,2020-02-06,0.000884
co,2020-02-06,0.008744
ct,2020-02-06,0.003066
dc,2020-02-06,0.005866
de,2020-02-06,0.004194
fl,2020-02-06,0.001157
ga,2020-02-06,0.001242
hi,2020-02-06,0.00638
ia,2020-02-06,0.002386
id,2020-02-06,0.0081
il,2020-02-06,0.001807
in,2020-02-06,0.001882
ks,2020-02-06,0.004665
ky,2020-02-06,0.002137
la,2020-02-06,0.002733
ma,2020-02-06,0.001202
md,2020-02-06,0.001382
me,2020-02-06,0.002442
mi,2020-02-06,0.000618
mn,2020-02-06,0.001638
mo,2020-02-06,0.001534
ms,2020-02-06,0.002768
mt,2020-02-06,0.011299
nc,2020-02-06,0.001227
nd,2020-02-06,0.011602
ne,2020-02-06,0.005503
nh,2020-02-06,0.005769
nj,2020-02-06,0.001193
nm,2020-02-06,0.007014
nv,2020-02-06,0.003508
ny,2020-02-06,0.004939
oh,2020-02-06,0.000817
ok,2020-02-06,0.002049
or,2020-02-06,0.0017
pa,2020-02-06,0.000603
pr,2020-02-06,0.005981
ri,2020-02-06,0.005384
sc,2020-02-06,0.001523
sd,2020-02-06,0.006901
tn,2020-02-06,0.001558
tx,2020-02-06,0.001009
ut,2020-02-06,0.008152
va,2020-02-06,0.000849
vt,2020-02-06,0.01077
wa,2020-02-06,0.001436
wi,2020-02-06,0.001251
wv,2020-02-06,0.007251
wy,2020-02-06,0.020977
ak,2020-02-07,0.019936
al,2020-02-07,0.001679
ar,2020-02-07,0.003231
az,2020-02-07,0.001485
ca,2020-02-07,0.000836
co,2020-02-07,0.008465
ct,2020-02-07,0.002729
dc,2020-02-07,0.005537
de,2020-02-07,0.003641
fl,2020-02-07,0.001255
ga,2020-02-07,0.001101
hi,2020-02-07,0.006006
ia,2020-02-07,0.001955
id,2020-02-07,0.00629
il,2020-02-07,0.002328
in,2020-02-07,0.001632
ks,2020-02-07,0.003605
ky,2020-02-07,0.001764
la,2020-02-07,0.002608
ma,2020-02-07,0.001053
md,2020-02-07,0.001849
me,2020-02-07,0.002443
mi,2020-02-07,0.000547
mn,2020-02-07,0.001446
mo,2020-02-07,0.002064
ms,2020-02-07,0.002606
mt,2020-02-07,0.010298
nc,2020-02-07,0.001086
nd,2020-02-07,0.010744
ne,2020-02-07,0.005787
nh,2020-02-07,0.005652
nj,2020-02-07,0.000924
nm,2020-02-07,0.005944
nv,2020-02-07,0.003186
ny,2020-02-07,0.006255
oh,2020-02-07,0.000893
ok,2020-02-07,0.001913
or,2020-02-07,0.00143
pa,2020-02-07,0.000493
pr,2020-02-07,0.005592
ri,2020-02-07,0.005054
sc,2020-02-07,0.001371
sd,2020-02-07,0.006454
tn,2020-02-07,0.001693
tx,2020-02-07,0.00075
ut,2020-02-07,0.009246
va,2020-02-07,0.000805
vt,2020-02-07,0.010528
wa,2020-02-07,0.001211
wi,2020-02-07,0.001187
wv,2020-02-07,0.005765
wy,2020-02-07,0.019741
ak,2020-02-08,0.019046
al,2020-02-08,0.001599
ar,2020-02-08,0.003015
az,2020-02-08,0.001264
ca,2020-02-08,0.000814
co,2020-02-08,0.008918
ct,2020-02-08,0.002451
dc,2020-02-08,0.005453
de,2020-02-08,0.003454
fl,2020-02-08,0.001246
ga,2020-02-08,0.000988
hi,2020-02-08,0.005771
ia,2020-02-08,0.002203
id,2020-02-08,0.007758
il,2020-02-08,0.002324
in,2020-02-08,0.002073
ks,2020-02-08,0.002906
ky,2020-02-08,0.002155
la,2020-02-08,0.002121
ma,2020-02-08,0.000959
md,2020-02-08,0.001922
me,2020-02-08,0.002627
mi,2020-02-08,0.000757
mn,2020-02-08,0.002559
mo,2020-02-08,0.002533
ms,2020-02-08,0.002561
mt,2020-02-08,0.009921
nc,2020-02-08,0.000977
nd,2020-02-08,0.010564
ne,2020-02-08,0.004787
nh,2020-02-08,0.00567
nj,2020-02-08,0.001214
nm,2020-02-08,0.005248
nv,2020-02-08,0.002976
ny,2020-02-08,0.007128
oh,2020-02-08,0.001399
ok,2020-02-08,0.001809
or,2020-02-08,0.001961
pa,2020-02-08,0.000574
pr,2020-02-08,0.005431
ri,2020-02-08,0.005059
sc,2020-02-08,0.001283
sd,2020-02-08,0.006315
tn,2020-02-08,0.002731
tx,2020-02-08,0.000772
ut,2020-02-08,0.008189
va,2020-02-08,0.000787
vt,2020-02-08,0.011717
wa,2020-02-08,0.001074
wi,2020-02-08,0.001763
wv,2020-02-08,0.005013
wy,2020-02-08,0.019617
ak,2020-02-09,0.022908
al,2020-02-09,0.001918
ar,2020-02-09,0.003457
az,2020-02-09,0.001294
ca,2020-02-09,0.000779
co,2020-02-09,0.010986
ct,2020-02-09,0.002749
dc,2020-02-09,0.006554
de,2020-02-09,0.004038
