geo_value,time_value,percent_home
ak,2019-01-01,0.43709639101025
al,2019-01-01,0.38578118280558
ar,2019-01-01,0.38369326497747
as,2019-01-01,0.51449493289056
az,2019-01-01,0.43912021682415
ca,2019-01-01,0.41042103022884
co,2019-01-01,0.44333512769934
ct,2019-01-01,0.41402694534008
dc,2019-01-01,0.35195965889496
de,2019-01-01,0.42627575868545
fl,2019-01-01,0.38626891282154
ga,2019-01-01,0.39613320459849
gu,2019-01-01,0.51177900181455
hi,2019-01-01,0.35942090904508
ia,2019-01-01,0.42524579737973
id,2019-01-01,0.43351956110204
il,2019-01-01,0.40647290828162
in,2019-01-01,0.40927763906538
ks,2019-01-01,0.42862644093901
ky,2019-01-01,0.43135310153192
la,2019-01-01,0.38740070458572
ma,2019-01-01,0.42935711024774
md,2019-01-01,0.43308088078326
me,2019-01-01,0.46928353035182
mi,2019-01-01,0.45004464406878
mn,2019-01-01,0.43977261662373
mo,2019-01-01,0.4210619093309
mp,2019-01-01,0.43993339855605
ms,2019-01-01,0.37420854644757
mt,2019-01-01,0.44727069442712
nc,2019-01-01,0.40757053942496
nd,2019-01-01,0.42076142777487
ne,2019-01-01,0.44403265486651
nh,2019-01-01,0.45525874538229
nj,2019-01-01,0.41992730141371
nm,2019-01-01,0.50185172947618
nv,2019-01-01,0.44760874973823
ny,2019-01-01,0.44571942414756
oh,2019-01-01,0.43326247068492
ok,2019-01-01,0.41819328173461
or,2019-01-01,0.44168567540583
pa,2019-01-01,0.44752820215371
pr,2019-01-01,0.466176363485
ri,2019-01-01,0.44012436483248
sc,2019-01-01,0.39688592904554
sd,2019-01-01,0.42842259496838
tn,2019-01-01,0.40602682654286
tx,2019-01-01,0.42395922273238
ut,2019-01-01,0.42422183510692
va,2019-01-01,0.41625971528907
vi,2019-01-01,0.4376088278559
vt,2019-01-01,0.48299934983954
wa,2019-01-01,0.43283366965504
wi,2019-01-01,0.4480547131296
wv,2019-01-01,0.44383053770092
wy,2019-01-01,0.45695774132413
ak,2019-01-02,0.36895768299726
al,2019-01-02,0.31234280001738
ar,2019-01-02,0.33726250858843
as,2019-01-02,0.49586769024956
az,2019-01-02,0.39298106599617
ca,2019-01-02,0.38260229317482
co,2019-01-02,0.39490995448862
ct,2019-01-02,0.3520491552235
dc,2019-01-02,0.3264807217844
de,2019-01-02,0.38235908534096
fl,2019-01-02,0.36027570205107
ga,2019-01-02,0.35961609085317
gu,2019-01-02,0.47350672600044
hi,2019-01-02,0.33972293756176
ia,2019-01-02,0.35753319135111
id,2019-01-02,0.39196540383329
il,2019-01-02,0.37248424878285
in,2019-01-02,0.3677418159472
ks,2019-01-02,0.36834344918042
ky,2019-01-02,0.37537329067318
la,2019-01-02,0.360553767762
ma,2019-01-02,0.35354395645298
md,2019-01-02,0.35606288829601
me,2019-01-02,0.3911977304677
mi,2019-01-02,0.38380681157741
mn,2019-01-02,0.3396611969511
mo,2019-01-02,0.35258712456483
mp,2019-01-02,0.41312290389775
ms,2019-01-02,0.3250096893738
mt,2019-01-02,0.36025072520032
nc,2019-01-02,0.34904740590641
nd,2019-01-02,0.34085116352375
ne,2019-01-02,0.35317544548136
nh,2019-01-02,0.3508023220697
nj,2019-01-02,0.3317865646102
nm,2019-01-02,0.44915969999877
nv,2019-01-02,0.40386604478647
ny,2019-01-02,0.36655060894903
oh,2019-01-02,0.37605947173437
ok,2019-01-02,0.372443404105
or,2019-01-02,0.38651713226097
pa,2019-01-02,0.37945177211379
pr,2019-01-02,0.45167391466763
ri,2019-01-02,0.3753980203802
sc,2019-01-02,0.34618620128458
sd,2019-01-02,0.34891359759603
tn,2019-01-02,0.35699946846858
tx,2019-01-02,0.40825179024462
ut,2019-01-02,0.35486197796145
va,2019-01-02,0.35502392948716
vi,2019-01-02,0.39632902442129
vt,2019-01-02,0.39422764344437
wa,2019-01-02,0.37334935604844
wi,2019-01-02,0.36937781442471
wv,2019-01-02,0.37836277965763
wy,2019-01-02,0.38446281458773
ak,2019-01-03,0.38853600765881
al,2019-01-03,0.32289813208737
ar,2019-01-03,0.32424339291211
as,2019-01-03,0.47552392063022
az,2019-01-03,0.38811383316376
ca,2019-01-03,0.36451858304718
co,2019-01-03,0.37097133813108
ct,2019-01-03,0.33298209573314
dc,2019-01-03,0.30961796583251
de,2019-01-03,0.34954645195296
fl,2019-01-03,0.34695827820214
ga,2019-01-03,0.34127877776039
gu,2019-01-03,0.46774072855069
hi,2019-01-03,0.33522338519333
ia,2019-01-03,0.30553877566082
id,2019-01-03,0.38447480240338
il,2019-01-03,0.34490542606998
in,2019-01-03,0.33347882155474
ks,2019-01-03,0.32976990446136
ky,2019-01-03,0.33968281263005
la,2019-01-03,0.34922737933475
ma,2019-01-03,0.33418736302789
md,2019-01-03,0.33090557953193
me,2019-01-03,0.3941322597446
mi,2019-01-03,0.35688351929461
mn,2019-01-03,0.31191631385045
mo,2019-01-03,0.32294075850194
mp,2019-01-03,0.44608022685969
ms,2019-01-03,0.31200721041408
