geo_value,time_value,fb_illness
mo,2020-04-09,0.7292056
ms,2020-04-09,0.8766897
mt,2020-04-09,1.3972337
nc,2020-04-09,0.733658
nd,2020-04-09,0.5788495
ne,2020-04-09,0.9548415
nh,2020-04-09,0.6267534
nj,2020-04-09,1.2018695
nm,2020-04-09,0.697084
nv,2020-04-09,0.8927812
ny,2020-04-09,1.4949654
oh,2020-04-09,0.7286113
ok,2020-04-09,0.9708865
or,2020-04-09,1.0222073
pa,2020-04-09,0.7265145
ri,2020-04-09,0.5996813
sc,2020-04-09,0.7223687
sd,2020-04-09,0.9512387
tn,2020-04-09,0.7597038
tx,2020-04-09,0.8028232
ut,2020-04-09,0.8834356
va,2020-04-09,0.6739127
vt,2020-04-09,0.6654856
wa,2020-04-09,0.7868453
wi,2020-04-09,0.7710524
wv,2020-04-09,0.8724115
wy,2020-04-09,1.007153
ak,2020-04-10,0.8294535
al,2020-04-10,0.7699611
ar,2020-04-10,0.9593377
az,2020-04-10,0.8948673
ca,2020-04-10,0.5820538
co,2020-04-10,1.1798323
ct,2020-04-10,0.9167975
dc,2020-04-10,0.6028963
de,2020-04-10,0.7943484
fl,2020-04-10,0.592317
ga,2020-04-10,0.7086957
hi,2020-04-10,0.5048979
ia,2020-04-10,1.0947386
id,2020-04-10,0.9636811
il,2020-04-10,0.813714
in,2020-04-10,1.0023928
ks,2020-04-10,0.8922176
ky,2020-04-10,0.732055
la,2020-04-10,0.8931325
ma,2020-04-10,0.6451274
md,2020-04-10,0.6194702
me,2020-04-10,1.0158177
mi,2020-04-10,0.9079499
mn,2020-04-10,0.8924056
mo,2020-04-10,0.754466
ms,2020-04-10,0.8534547
mt,2020-04-10,1.1949508
nc,2020-04-10,0.6712558
nd,2020-04-10,0.6062658
ne,2020-04-10,0.8515955
nh,2020-04-10,0.6083816
nj,2020-04-10,1.165666
nm,2020-04-10,0.5776447
nv,2020-04-10,0.9210032
ny,2020-04-10,1.4458825
oh,2020-04-10,0.690309
ok,2020-04-10,1.0722941
or,2020-04-10,0.9687175
pa,2020-04-10,0.8221359
ri,2020-04-10,0.622297
sc,2020-04-10,0.8228993
sd,2020-04-10,0.923864
tn,2020-04-10,0.7474274
tx,2020-04-10,0.7927636
ut,2020-04-10,0.8061143
va,2020-04-10,0.6363727
vt,2020-04-10,0.7699677
wa,2020-04-10,0.7720289
wi,2020-04-10,0.8277607
wv,2020-04-10,0.7993983
wy,2020-04-10,1.0432075
ak,2020-04-11,0.7744776
al,2020-04-11,0.9150365
ar,2020-04-11,0.9524917
az,2020-04-11,0.9713596
ca,2020-04-11,0.6290701
co,2020-04-11,1.1228113
ct,2020-04-11,0.8748398
dc,2020-04-11,0.4995226
de,2020-04-11,0.9347257
fl,2020-04-11,0.6896611
ga,2020-04-11,0.666144
hi,2020-04-11,0.4790028
ia,2020-04-11,1.0608457
id,2020-04-11,0.8064151
il,2020-04-11,0.842559
in,2020-04-11,0.9869888
ks,2020-04-11,0.8512717
ky,2020-04-11,0.7158117
la,2020-04-11,1.1861881
ma,2020-04-11,0.6538411
md,2020-04-11,0.6110379
me,2020-04-11,0.9811675
mi,2020-04-11,0.9063064
mn,2020-04-11,0.9328527
mo,2020-04-11,0.8549898
ms,2020-04-11,0.8887983
mt,2020-04-11,1.0253348
nc,2020-04-11,0.6736596
nd,2020-04-11,0.5631609
ne,2020-04-11,0.8884647
nh,2020-04-11,0.9860132
nj,2020-04-11,1.151605
nm,2020-04-11,0.6104293
nv,2020-04-11,0.808376
ny,2020-04-11,1.3931271
oh,2020-04-11,0.6340094
ok,2020-04-11,1.0536273
or,2020-04-11,0.8692424
pa,2020-04-11,0.7511256
ri,2020-04-11,0.7628572
sc,2020-04-11,0.8629167
sd,2020-04-11,0.7778248
tn,2020-04-11,0.7404243
tx,2020-04-11,0.8011687
ut,2020-04-11,0.863343
va,2020-04-11,0.5736835
vt,2020-04-11,0.8923697
wa,2020-04-11,0.7844948
wi,2020-04-11,0.8448997
wv,2020-04-11,0.7786645
wy,2020-04-11,1.0888476
ak,2020-04-12,0.7376873
al,2020-04-12,0.7861119
ar,2020-04-12,0.8318759
az,2020-04-12,1.0403598
ca,2020-04-12,0.5777195
co,2020-04-12,1.1511473
ct,2020-04-12,1.1269132
dc,2020-04-12,0.492598
de,2020-04-12,0.7965428
fl,2020-04-12,0.6379982
ga,2020-04-12,0.5732161
hi,2020-04-12,0.4128491
ia,2020-04-12,1.1450849
id,2020-04-12,0.7093216
il,2020-04-12,0.8627756
in,2020-04-12,0.9128611
ks,2020-04-12,0.9495393
ky,2020-04-12,0.9551169
la,2020-04-12,1.2619142
ma,2020-04-12,0.7385269
md,2020-04-12,0.55893
me,2020-04-12,0.8828523
mi,2020-04-12,1.0001572
mn,2020-04-12,0.8006332
mo,2020-04-12,0.8216023
ms,2020-04-12,0.8986885
mt,2020-04-12,0.8981591
nc,2020-04-12,0.6235736
nd,2020-04-12,0.5820697
ne,2020-04-12,0.8658244
nh,2020-04-12,0.8392093
nj,2020-04-12,1.109583
nm,2020-04-12,0.5254066
nv,2020-04-12,0.9434465
ny,2020-04-12,1.3370889
oh,2020-04-12,0.6989219
ok,2020-04-12,1.0055616
or,2020-04-12,0.9118262
pa,2020-04-12,0.7850161
ri,2020-04-12,0.8256247
sc,2020-04-12,0.7720885
sd,2020-04-12,0.7314948
tn,2020-04-12,0.6496449
