geo_value,time_value,covid_admissions
wa,2020-02-04,0.135627
wi,2020-02-04,0.068858
wv,2020-02-04,0.096211
wy,2020-02-04,0.341018
al,2020-02-05,0.060583
ar,2020-02-05,0.084396
az,2020-02-05,0.05677
ca,2020-02-05,0.034671
co,2020-02-05,0.055802
ct,2020-02-05,0.077924
dc,2020-02-05,0.094946
de,2020-02-05,0.167143
fl,2020-02-05,0.027385
ga,2020-02-05,0.050927
hi,2020-02-05,0.094686
ia,2020-02-05,0.08351
id,2020-02-05,0.142169
il,2020-02-05,0.054046
in,2020-02-05,0.069288
ks,2020-02-05,0.151206
ky,2020-02-05,0.803936
la,2020-02-05,0.080573
ma,2020-02-05,0.079896
md,2020-02-05,0.077216
me,2020-02-05,0.154721
mi,2020-02-05,0.082137
mn,2020-02-05,0.083769
mo,2020-02-05,0.062933
ms,2020-02-05,0.110466
nc,2020-02-05,0.154741
ne,2020-02-05,0.090373
nh,2020-02-05,0.093929
nj,2020-02-05,0.058618
nm,2020-02-05,0.087739
nv,2020-02-05,0.080439
ny,2020-02-05,0.042653
oh,2020-02-05,0.087279
ok,2020-02-05,0.077308
or,2020-02-05,0.082664
pa,2020-02-05,0.1328
ri,2020-02-05,0.093306
sc,2020-02-05,0.071515
sd,2020-02-05,0.399785
tn,2020-02-05,0.070291
tx,2020-02-05,0.033911
ut,2020-02-05,0.091531
va,2020-02-05,0.073745
vt,2020-02-05,0.178238
wa,2020-02-05,0.099637
wi,2020-02-05,0.070994
wv,2020-02-05,0.098365
wy,2020-02-05,0.330486
al,2020-02-06,0.060384
ar,2020-02-06,0.084594
az,2020-02-06,0.059082
ca,2020-02-06,0.034596
co,2020-02-06,0.053608
ct,2020-02-06,0.083076
dc,2020-02-06,0.098788
de,2020-02-06,0.174793
fl,2020-02-06,0.045129
ga,2020-02-06,0.050844
hi,2020-02-06,0.093863
ia,2020-02-06,0.087098
id,2020-02-06,0.140887
il,2020-02-06,0.053695
in,2020-02-06,0.067833
ks,2020-02-06,0.179737
ky,2020-02-06,0.764735
la,2020-02-06,0.08199
ma,2020-02-06,0.082965
md,2020-02-06,0.076821
me,2020-02-06,0.16092
mi,2020-02-06,0.081647
mn,2020-02-06,0.087078
mo,2020-02-06,0.100021
ms,2020-02-06,0.098296
nc,2020-02-06,0.136646
ne,2020-02-06,0.091729
nh,2020-02-06,0.092994
nj,2020-02-06,0.07655
nm,2020-02-06,0.087093
nv,2020-02-06,0.083548
ny,2020-02-06,0.035895
oh,2020-02-06,0.076035
ok,2020-02-06,0.072684
or,2020-02-06,0.086267
pa,2020-02-06,0.15765
ri,2020-02-06,0.094031
sc,2020-02-06,0.076522
sd,2020-02-06,0.388852
tn,2020-02-06,0.072506
tx,2020-02-06,0.031189
ut,2020-02-06,0.090446
va,2020-02-06,0.073119
vt,2020-02-06,0.17829
wa,2020-02-06,0.072428
wi,2020-02-06,0.074809
wv,2020-02-06,0.1014
wy,2020-02-06,0.32241
al,2020-02-07,0.060602
ar,2020-02-07,0.086278
az,2020-02-07,0.06218
ca,2020-02-07,0.051982
