geo_value,time_value,percent_covid_tests_positive_smoothed,covid_admissions,raw_search,percent_covid_visits,fb_illness,new_cases,full_time_work_prop,percent_home
tx,2020-05-27,4.37284235,2.877207,11.770511673739998,0.25364699999999996,0.3948604,1328,4.0159514146954,28.040862459674997
al,2020-05-28,22.77227723,5.162501,11.022285336643,0.15776400000000002,0.6025497,486,5.5431559916345,23.193340621974
ar,2020-05-28,7.69230769,1.9728709999999998,0.0,0.132374,0.6308457,261,4.718055493056501,23.207703664042
ct,2020-05-28,7.01754386,7.750864,41.337310709907996,0.446535,0.42509929999999996,271,4.280014285925601,33.697323963353
fl,2020-05-28,6.02620087,2.3334479999999997,4.0277857367609,0.125461,0.38139670000000003,651,4.485900905991999,31.175272294527
ga,2020-05-28,7.11630377,1.9380509999999997,19.269341664707,0.172066,0.49315879999999995,628,4.5021041823062005,26.8743621454
ks,2020-05-28,12.47113164,1.348759,37.833006082332,0.088278,0.43345209999999995,80,5.0105453734720005,26.121589865082
ky,2020-05-28,3.61317747,0.8374290000000001,12.276249636413,0.053887,0.4302892,108,4.829103602533401,26.627822820892998
la,2020-05-28,6.25,2.494198,0.0,0.17091800000000001,0.5115457999999999,305,5.4556477281664,24.63277300136
ma,2020-05-28,5.55188367,8.206831,21.992615513369003,0.317623,0.4584956,651,4.633482300400701,36.227998609031
md,2020-05-28,12.64367816,7.638922999999999,6.2775722578644,0.480604,0.6944338000000001,1286,4.384817159034,38.174117475869004
mi,2020-05-28,0.30030029999999996,2.025086,11.155465123534,0.153645,0.3285325,464,4.444643840560599,30.044514099321002
ms,2020-05-28,3.17460317,3.1053740000000003,0.0,0.228463,0.7745437,328,4.834302442242599,21.527738269194
nj,2020-05-28,2.08333333,7.236496000000001,13.861902363797,0.937601,0.5093666,557,3.8412329577809996,37.034273388536
ny,2020-05-28,2.79850746,5.729901,13.257836412737,0.805142,0.4831885,1768,3.989970598399201,37.56412566798
ok,2020-05-28,3.92694064,0.9709979999999999,15.016163309918001,0.074059,0.35572570000000003,44,4.212122619957601,22.682751146249
ri,2020-05-28,1.42857143,2.342557,0.0,0.238952,0.5309292,141,4.1020552517816,31.437116314743
tx,2020-05-28,4.73711609,2.896411,9.8540863190517,0.225369,0.36137620000000004,1853,3.6169397487996005,26.614357063416
